state_name,city,"ROUND(AVG(Median),1)"
Massachusetts,Uxbridge,300000
Massachusetts,Oxford,300000
Michigan,Delton,300000
Minnesota,"Saint Clair",300000
Minnesota,Minnetrista,300000
Mississippi,"New Hebron",300000
Missouri,"Osage Beach",300000
Missouri,Kearney,300000
Missouri,Buffalo,300000
Missouri,Brentwood,300000
Nebraska,"North Bend",300000
Nebraska,Wolbach,300000
Nebraska,"Platte Center",300000
Nebraska,"La Vista",300000
Nebraska,Plattsmouth,300000
"New Jersey",Rutherford,300000
"New Jersey",Eastampton,300000
"New Jersey","Mount Ephraim",300000
"New Jersey","Upper Montclair",300000
"New Jersey",Paulsboro,300000
"New Jersey","New Egypt",300000
"New Jersey","West Milford",300000
"New Jersey",Sparta,300000
"New Mexico",Tatum,300000
"New York",Bridgeport,300000
"New York","Stewart Manor",300000
"New York",Cedarhurst,300000
"New York",Fayetteville,300000
"New York","South Glens Falls",300000
"New York",Smithtown,300000
"New York","Livingston Manor",300000
"New York",Coeymans,300000
"North Carolina","Snow Camp",300000
"North Carolina",Norwood,300000
"North Dakota",Wimbledon,300000
"North Dakota",Belcourt,300000
"North Dakota","Grand Forks Af",300000
Ohio,"Mc Donald",300000
Ohio,Maineville,300000
Ohio,Bridgeport,300000
Ohio,"University Hts",300000
Ohio,Wyoming,300000
Ohio,Nashville,300000
Oregon,Monmouth,300000
Pennsylvania,Morrisdale,300000
Pennsylvania,Mcmurray,300000
"Rhode Island","Hope Valley",300000
"South Dakota",Bonesteel,300000
Texas,Lytle,300000
Texas,"Cedar Creek",300000
Texas,Buda,300000
Texas,Manchaca,300000
Texas,"Fair Oaks Ranch",300000
Texas,Rosharon,300000
Utah,Draper,300000
Utah,Mapleton,300000
Virginia,Sussex,300000
Wisconsin,Mauston,300000
Wyoming,Worland,300000
California,Bonsall,300000
Colorado,"Indian Hills",300000
Colorado,Wellington,300000
Connecticut,Kensington,300000
Connecticut,Somers,300000
Connecticut,Darien,300000
Florida,"N Green Acres",300000
Florida,"Satellite Beach",300000
Florida,Clewiston,300000
Georgia,Reidsville,300000
Idaho,Ririe,300000
Illinois,Reynolds,300000
Illinois,Liberty,300000
Illinois,"Morton Grove",300000
Illinois,Bellwood,300000
Illinois,Serena,300000
Illinois,Peru,300000
Indiana,"Floyd Knobs",300000
Indiana,Leo,300000
Indiana,Bristol,300000
Indiana,Rockville,300000
Indiana,Greencastle,300000
Iowa,"West Bend",300000
Iowa,Carroll,300000
Iowa,Leclaire,300000
Kansas,Hanover,300000
Kansas,Ulysses,300000
Kansas,Gardner,300000
Kansas,Mulvane,300000
Kentucky,"Mount Olivet",300000
Maine,"East Waterboro",300000
Maryland,Smithsburg,300000
Massachusetts,Forestdale,300000
Massachusetts,"North Falmouth",300000
Massachusetts,Fairhaven,300000
Massachusetts,Tewksbury,300000
Massachusetts,Westford,300000
Massachusetts,Newton,300000
Massachusetts,"West Newton",300000
Massachusetts,Wellesley,300000
Massachusetts,Milton,300000
Michigan,Jenison,300000
Missouri,Perryville,300000
Missouri,"Camden Point",300000
Missouri,"Dardenne Prairie",300000
Montana,Biddle,300000
Nevada,Baker,300000
Nevada,"Spring Creek",300000
Nevada,Winnemucca,300000
"New Jersey",Margate,300000
"New Jersey",Oakland,300000
"New Jersey","River Vale",300000
"New Jersey","S Orange",300000
"New Jersey",Sayreville,300000
"New Jersey",Holmdel,300000
"New Jersey","Budd Lake",300000
"New Jersey",Stillwater,300000
"New York",Gasport,300000
"New York",Cooperstown,300000
"New York","Cold Spring",300000
"New York",Carmel,300000
"New York",Stillwater,300000
"New York","East Northport",300000
"New York",Medford,300000
"New York",Larchmont,300000
"New York","Pound Ridge",300000
"New York","Shrub Oak",300000
"New York","Shelter Island",300000
"New York",Olean,300000
"New York",Cairo,300000
Ohio,Morrow,300000
Ohio,Doylestown,300000
Ohio,Monroe,300000
Ohio,Milan,300000
Ohio,Caledonia,300000
Oklahoma,Rose,300000
Pennsylvania,"Eighty Four",300000
Pennsylvania,Sugarloaf,300000
Pennsylvania,"Mount Wolf",300000
Pennsylvania,Blairsville,300000
Pennsylvania,"Slippery Rock",300000
Pennsylvania,Reamstown,300000
Pennsylvania,Hatfield,300000
"Rhode Island",Seekonk,300000
"South Carolina",Clemson,300000
"South Carolina",Salem,300000
Tennessee,"Spring Hill",300000
Texas,"Garden City",300000
Texas,Littlefield,300000
Texas,"Elm Mott",300000
Texas,Luling,300000
Utah,"Cedar Hills",300000
Utah,"Brigham City",300000
Virginia,"Fancy Gap",300000
Virginia,"King And Queen C H",300000
Wisconsin,Cazenovia,300000
Wisconsin,"Cottage Grove",300000
Wisconsin,Greenville,300000
California,Soquel,300000
California,"Monte Rio",300000
Colorado,"Gold Hill",300000
Colorado,"Palmer Lake",300000
Connecticut,Granby,300000
Connecticut,Terryville,300000
Connecticut,Tolland,300000
Florida,Hosford,300000
Florida,Dundee,300000
Georgia,Rex,300000
Georgia,Ashburn,300000
Idaho,Kuna,300000
Illinois,Macon,300000
Illinois,Mchenry,300000
Illinois,Johnsburg,300000
Illinois,Smithton,300000
Illinois,"Western Springs",300000
Illinois,Geneseo,300000
Indiana,"West Terre Haute",300000
Indiana,Georgetown,300000
Iowa,Victor,300000
Iowa,Stuart,300000
Iowa,Stanton,300000
Maine,Yarmouth,300000
Maine,Gray,300000
Maryland,Nanjemoy,300000
Maryland,Pittsville,300000
Massachusetts,Newbury,300000
Massachusetts,Northampton,300000
Massachusetts,Ludlow,300000
Massachusetts,Barre,300000
Massachusetts,Holden,300000
Minnesota,Rockville,300000
Missouri,Jonesburg,300000
Nebraska,Palmer,300000
Nevada,Carlin,300000
"New Hampshire",Stratham,300000
"New Hampshire",Hollis,300000
"New Hampshire",Pelham,300000
"New Hampshire",Hooksett,300000
"New Hampshire",Seabrook,300000
"New Jersey",Cresskill,300000
"New Jersey",Oradell,300000
"New Jersey",Shamong,300000
"New Jersey","Haddon Heights",300000
