state_name,city,"ROUND(AVG(Mean),1)"
"New York",Bohemia,112217
Pennsylvania,Cheltenham,112205
California,"Sherman Oaks",112072.5
"New Jersey",Hazlet,112001.5
"New Jersey",Clark,112001.3
California,"Newbury Park",111982
"New Jersey","E Brunswick",111970.8
Utah,"South Jordan",111965
Tennessee,"Spring Hill",111931
Michigan,"Ann Arbor",111892.9
Texas,Katy,111892
California,Campbell,111889.1
California,"San Clemente",111883.8
Massachusetts,Holliston,111854.3
Connecticut,Shelton,111811.8
Indiana,Porter,111784
Pennsylvania,Breinigsville,111698.5
Michigan,"West Bloomfield",111656.9
California,"Beverly Hills",111655.7
Pennsylvania,"King Of Prussia",111619
Wisconsin,"Cottage Grove",111608
Massachusetts,Paxton,111571
Colorado,Lyons,111546
"New Jersey","East Windsor",111447
Illinois,Minooka,111375
"New York",Centereach,111347
Maryland,"Upper Marlboro",111309.2
California,"Half Moon Bay",111284.3
Florida,"Marco Island",111281
Maryland,Damascus,111275
Mississippi,Madison,111266.7
"New Jersey",Cranford,111265
"New Jersey","Point Pleasant Beach",111228
Tennessee,"Thompson's Station",111205
Connecticut,Milford,111142
Maryland,Nanjemoy,111120
Missouri,"Lake St Louis",111088
California,Dublin,110983.5
"North Dakota",Munich,110882
"New Jersey",Bogota,110861
"New Jersey",Manasquan,110852
Maryland,Waldorf,110823.9
Massachusetts,Hampden,110812
"New Jersey",Sayreville,110792
California,"Santa Monica",110739.9
Illinois,"La Grange",110715
Ohio,"Upper Arlington",110708.6
Texas,Richmond,110704.3
Pennsylvania,"Feasterville Trevose",110665
Massachusetts,Charlestown,110649.5
Ohio,Kirtland,110598
California,"San Bruno",110563
California,"Playa Vista",110536
Maryland,"New Market",110533.5
"New York","Island Park",110516
Texas,Keller,110490.7
Pennsylvania,"Port Matilda",110468
California,Williams,110458
Maryland,Brandywine,110456
Georgia,Suwanee,110440.8
Maryland,Germantown,110436.7
Ohio,Westlake,110351.7
"New Jersey","High Bridge",110221
Maryland,Fallston,110219
Illinois,Mossville,110217
California,Ripon,110209
Virginia,Haymarket,110151
Iowa,Waukee,110120
"New Hampshire",Hooksett,110111
"New Hampshire",Merrimack,110103
"New Jersey","Morris Plains",110019
Florida,Wellington,110004.8
Oklahoma,Edmond,109995.7
Connecticut,Newtown,109949.5
Minnesota,"Mendota Heights",109944
Washington,Kenmore,109944
Texas,Manchaca,109898
California,"Costa Mesa",109889.7
"North Carolina",Cary,109838.1
Connecticut,Bethany,109823
Massachusetts,Maynard,109797
Maryland,Abingdon,109797
"New York","Ocean Beach",109792
Colorado,Pine,109756.5
Massachusetts,Burlington,109749
"New Hampshire",Londonderry,109649.3
California,Saugus,109633
"New York",Brookhaven,109603
California,Novato,109602.7
Pennsylvania,Rosemont,109522
"New York","Williston Park",109379
Minnesota,Lakeville,109261
"New York",Massapequa,109243.5
Connecticut,Andover,109190
Georgia,"Saint Simons Island",109183
Kentucky,Union,109176
Vermont,Jericho,109148
"New Hampshire",Amherst,109143
California,Coronado,109138
California,"Rancho Santa Fe",109128
Connecticut,Moodus,109105
Kentucky,Crestwood,109095.8
Maryland,Owings,109078
Georgia,Cumming,109073.2
"New Jersey",Westmont,109066
Massachusetts,Chelmsford,108921.3
Illinois,"Park Ridge",108731.8
"New Jersey","Mount Laurel",108724.5
"New York",Mahopac,108712.3
"New Jersey",Dunellen,108679
Georgia,Martinez,108667
"Rhode Island",Jamestown,108607
"New Jersey","Saddle Brook",108596
Massachusetts,Essex,108593
"New Jersey","West Orange",108576
Virginia,Springfield,108520.3
Maryland,Hanover,108511
Illinois,"Germantown Hills",108463.5
Connecticut,Suffield,108457
Massachusetts,Billerica,108409
"New York","Roosevelt Island",108382
Illinois,Chatham,108357.5
"New York",Holbrook,108339
"New York",Piermont,108313.5
"New York",Islandia,108293
Ohio,Brecksville,108273
Washington,Ridgefield,108255.5
Texas,Allen,108175.6
Connecticut,Marlborough,108144
Virginia,Alexandria,108140.6
"New York","St Regis Falls",108132
Tennessee,Germantown,108095.4
Pennsylvania,Mcdonald,108084
California,Hercules,108030
California,"Mill Valley",108020
Texas,Angleton,108019
Florida,"Miami Bach",108014
"New York","Rockville Centre",107972.5
Minnesota,Scandia,107966
Texas,Coppell,107932
Maryland,Edgewater,107921.5
"New Jersey",Collingswood,107898
Utah,Alpine,107855.7
California,"St. Helena",107845
Ohio,Peninsula,107786
Illinois,Channahon,107770
Louisiana,Milton,107765
Georgia,Brooks,107764
"New York","Hyde Park",107739
"New York","Rockaway Park",107634
Indiana,Georgetown,107628
California,Tollhouse,107612
Illinois,"Lake In The Hills",107604
Alabama,Daphne,107603
California,Millbrae,107565
Massachusetts,Wilbraham,107530
Massachusetts,Townsend,107414
"New Jersey","Freehold Twp.",107345
Hawaii,Kailua,107344.9
California,"El Segundo",107331
Kansas,"Overland Park",107303.1
Washington,Snohomish,107288.5
Maryland,"Fort Washington",107275.2
Pennsylvania,Enola,107271
"New Jersey",Maplewood,107229.2
Connecticut,Farmington,107219.5
Missouri,Foristell,107189
Illinois,Lemont,107158
Maryland,Columbia,107126.8
California,Livermore,107116.1
Virginia,Annandale,107036
"Rhode Island","North Scituate",107001
Indiana,Granger,106990
Maryland,Mechanicsville,106985
Massachusetts,Marblehead,106954.3
"New York",Carmel,106952.5
"New York","West Hempstead",106941.3
California,"Redwood City",106888.3
Texas,Helotes,106871
Pennsylvania,Springfield,106838.7
Louisiana,"Elm Grove",106782
"New York",Hicksville,106777.8
Illinois,"Downers Grove",106694
Maryland,Freeland,106590
Virginia,Woodbridge,106563.7
Connecticut,Somers,106557
Pennsylvania,"Bala Cynwyd",106537
California,"Loma Linda",106524
California,Brentwood,106513.5
Texas,Justin,106433
California,Mather,106418
Connecticut,Oakdale,106332
Maryland,Cheverly,106314
Massachusetts,Newbury,106307
Kansas,Stilwell,106294
Utah,Salem,106276
Florida,"Ponte Vedra Beach",106270
Missouri,Ballwin,106255.2
Minnesota,Savage,106253.5
Michigan,Saline,106222
Missouri,Augusta,106217.5
"New York",Tarrytown,106201
Ohio,Beachwood,106161
"North Carolina",Morrisville,106140
"New Jersey",Northvale,106081
Massachusetts,"South Easton",106066
"New Jersey",Boonton,106045
Ohio,"Shaker Heights",106026
Illinois,Geneseo,106001
"New York",Suffern,105996.2
California,Denair,105985
Delaware,Hockessin,105912
Minnesota,"Apple Valley",105910.3
"New York","East Northport",105887
Kansas,Mulvane,105877
Arizona,Higley,105824
Massachusetts,Norwood,105795.7
Missouri,"Platte City",105780
California,Valencia,105715
"New Jersey","West Milford",105688
